STOK ID,STOK Kodu,Barkod,Ürün Adı,Kategori,Marka,Alış Fiyatı,Kar Marjı (%),Satış Fiyatı,Piyasa Fiyatı,Tedarikçi,Ofis26 Satış,HEPCAZİP Satış,Güncel Stok,Raf,Kasa,Palet
17653.0,TS3456-KRF,8691927462334,Kraf Zımba Teli Sökücü 50G,Zımba Teli Sökücü,Kraf,10.8,20,12.96,,Tanımsız,0,0,43.0,8,0,0
,168000127,8690060127001,Delta Tel Sökücü 24/6,Zımba Teli Sökücü,Delta,4.45,20,5.34,,Tanımsız,0,0,2.0,8,0,0
,12264,8999921546549,Üçgen Proje Kutusu Plastik Lastikli Dar 24x32x5 Mavi,Arşivleme Kutusu,Üçgen,10.0,20,12.0,,Tanımsız,0,0,,,0,0
17601.0,MZ-ASS-PTZM,8699435012997,Assis Pens Tipi Zımba Makinası 24/6,Zımba Makinası,Cassa,17.11,20,20.53,,Tanımsız,0,0,7.0,2,0,0
17632.0,ZK1127-CAS,,Cassa Assis 24x6 Tel zımba makinası 20 yaprak,Zımba Makinası,Cassa,,20,,,Tanımsız,0,0,,,0,0
,8435,8699433943514,Cassa Pens Tipi Zımba No:24/6 8435,Zımba Makinası,Cassa,,20,,,Tanımsız,0,0,,,0,0
,90208,8690060252000,Delta Zımba Teli No:23/10 252,Zımba Teli,Delta,10.0,20,12.0,,Tanımsız,0,0,30.0,7,0,0
,57081,8690060162200,Delta Zımba Teli No:10 Beyaz,Zımba Teli,Delta,2.41,20,2.89,,Tanımsız,0,0,3.0,5,0,0
17633.0,ZT3343-DLT,8690060155202,Delta Zımba Teli No:24/6 Gri,Zımba Teli,Delta,3.32,20,3.98,,Tanımsız,0,0,18.0,7,0,0
17651.0,MAS-69,8691217090582,Hi-Text Asetat Kalemi Permanent S Seri Siyah 780,Asetat Kalemi,,21.24,20,25.49,,Tanımsız,0,0,4.0,8,0,0
,,8008621014118,,,,,20,,,Tanımsız,0,0,2.0,51,0,0
,43454,8690060155103,Delta Zımba Teli No:24/6 Sarı,Zımba Teli,Delta,1.41,20,1.69,,Tanımsız,0,0,1.0,7,0,0
17638.0,ZT3341-DLT,8690060162200,Delta Zımba Teli No:10 Gri,Zımba Teli,Delta,2.1,20,2.52,,Tanımsız,0,0,,,0,0
17635.0,ZT3342-DLT,8690060162101,Delta Zımba Teli No:10 Sarı,Zımba Teli,Delta,1.03,20,1.24,,Tanımsız,0,0,9.0,7,0,0
,33266,8690060104002,Delta Pens Tipi Zımba Makinası 6/4,Zımba Makinası,Delta,20.83,20,25.0,,Tanımsız,0,0,2.0,2,0,0
,11425,8690060102008,Delta Pens Tipi No:10 Zımba Makinası,Zımba Makinası,Delta,,20,,,Tanımsız,0,0,,,0,0
,5440,8691927464215,Kraf Proje Kutusu Battal (29x40x9) 890G,Arşivleme Kutusu,Kraf,13.2,20,15.84,,Tanımsız,0,0,,,0,0
,,,HD210-P 24/6 30 syf no:3 Mavi,Zımba Makinası,Elba,,20,,,Tanımsız,0,0,1.0,2,0,0
17602.0,C-45-C,,Kangaro Zımba Makinesi,Zımba Makinası,Kangaro,,20,,,Tanımsız,0,0,,,0,0
17647.0,ZT3349-KRF,8802966061000,Kraf Zımba Teli 23/10 1000 Lİ,Zımba Teli,Kraf,7.96,20,9.55,,Tanımsız,0,0,,,0,0
17645.0,ZT3355-KRF,5201640032160,Kraf Zımba Teli 24/6 1000 Lİ Beyaz,Zımba Teli,Kraf,2.84,20,3.41,,Tanımsız,0,0,,,0,0
17643.0,ZT3358-KRF,6940509500400,Kraf Zımba Teli No:10 Sarı 1000 Li-245,Zımba Teli,Kraf,4.41,20,5.29,,Tanımsız,0,0,87.0,7,0,0
17649.0,ZT3351-KRF,8802966060614,Kraf Zımba Teli 23/15 1000 Lİ,Zımba Teli,Kraf,5.09,20,6.11,,Tanımsız,0,0,9.0,7,0,0
17646.0,ZT3357-KRF,5201640032153,Kraf Zımba Teli No:10 1000 li Beyaz-225G,Zımba Teli,Kraf,1.71,20,2.05,,Tanımsız,0,0,47.0,7,0,0
17610.0,ZM3397-KRF,8680454902062,Kraf Zımba Makinası No:10 10g Siyah,Zımba Makinası,Kraf,16.65,20,19.98,,Tanımsız,0,0,48.0,3,0,0
,,8691927462402,Kraf 40 g 24/6 45 s krom pens tipi,Zımba Makinası,Kraf,,20,,,Tanımsız,0,0,1.0,2,0,0
17644.0,ZT3356-KRF,,Kraf Zımba Teli Sarı 24/6 1000 Lİ,Zımba Teli,Kraf,,20,,,Tanımsız,0,0,,,0,0
,278000003,8691217014502,Mas Zımba Teli 24/6 145,Zımba Teli,Mas,5.39,20,6.47,,Tanımsız,0,0,74.0,7,0,0
17641.0,M0143,8691217014328,Mas Zımba Teli No:10 - Bakır 143,Zımba Teli,Mas,4.27,20,5.12,,Tanımsız,0,0,26.0,7,0,0
17650.0,M0156,8691217015608,Mas Zımba Teli No: 23/15 156,Zımba Teli,Mas,5.94,20,7.13,,Tanımsız,0,0,14.0,7,0,0
,278012461,8691217015400,Mas Zımba Teli No:23/13 154,Zımba Teli,Mas,5.83,20,7.0,,Tanımsız,0,0,22.0,7,0,0
17639.0,M0140,8691217014007,Mas Zımba Teli No:10 140,Zımba Teli,Mas,3.5,20,4.2,,Tanımsız,0,0,60.0,7,0,0
17642.0,M0148,8691217014809,Mas Zımba Teli No:24/6 Bakır 148,Zımba Teli,Mas,,20,,,Tanımsız,0,0,22.0,7,0,0
17615.0,M1186,8691217118606,Mas Zımba Makinesi Pens Tipi 20 Sayfa 24/6 1186 Krom,Zımba Makinası,Mas,82.95,20,99.54,,Tanımsız,0,0,37.0,2,0,0
17612.0,MS-ZBM-B1,8691217078498,Mas Zımba Makinesi Force 24/6 785 Siyah,Zımba Makinası,Mas,0.0,20,0.0,,Tanımsız,0,0,10.0,3,0,0
